-1.000004887577657930e+00,-2.535193981015792473e-06
-1.000012415997193482e+00,-3.932047456526566696e-03
-1.000019761567134680e+00,-7.861738876669736864e-03
-1.000026922171006527e+00,-1.179172864390329312e-02
-1.000033894517250888e+00,-1.572213592922382455e-02
-1.000040674139364150e+00,-1.965307987681172083e-02
-1.000047255396082635e+00,-2.358467959571201866e-02
-1.000053512307433667e+00,-2.751705087264492630e-02
-1.000059675225581035e+00,-3.145031881095318449e-02
-1.000065496675722532e+00,-3.538459533852453265e-02
-1.000071085490154443e+00,-3.932000261976618255e-02
-1.000076430163922669e+00,-4.325665946353519226e-02
-1.000081398942731514e+00,-4.719467897436964432e-02
-1.000086097099805338e+00,-5.113418446646013360e-02
-1.000090390590743006e+00,-5.507528791411506891e-02
-1.000094382311574659e+00,-5.901811335637013184e-02
-1.000097935937718230e+00,-6.296277160461755118e-02
-1.000101033040037501e+00,-6.690937943168999424e-02
-1.000103654031861966e+00,-7.085805347645317276e-02
-1.000105897047012249e+00,-7.480891912772841268e-02
-1.000107502396100356e+00,-7.876207541461185957e-02
-1.000108565936313587e+00,-8.271764694976825594e-02
-1.000109063459768910e+00,-8.667574975414504834e-02
-1.000108850883020484e+00,-9.063648891428639776e-02
-1.000107901823220846e+00,-9.459997869374324464e-02
-1.000106307392449656e+00,-9.856634485791418432e-02
-1.000103920201628416e+00,-1.025356905217166964e-01
-1.000100710447253904e+00,-1.065081293530124318e-01
-1.000096647189943289e+00,-1.104837748050825214e-01
-1.000091579919671902e+00,-1.144627265532741633e-01
-1.000085593973807585e+00,-1.184451102221997232e-01
-1.000078536693109532e+00,-1.224310240879971506e-01
-1.000070491055581323e+00,-1.264205942215608502e-01
-1.000061184057577046e+00,-1.304139020535274029e-01
-1.000050814647928110e+00,-1.344110885544925749e-01
-1.000038989747260132e+00,-1.384122164222369722e-01
-1.000025906026413836e+00,-1.424174265464606681e-01
-1.000011522628217131e+00,-1.464268287014689751e-01
