-1.000004410740499727e+00,-2.535192772147007573e-06
-1.000011939163721442e+00,-3.932045581618004090e-03
-1.000019284744711134e+00,-7.861735128090430527e-03
-1.000026445366993810e+00,-1.179172302171112297e-02
-1.000033417739011554e+00,-1.572212843350560135e-02
-1.000040197394259422e+00,-1.965307050768317840e-02
-1.000046778691473959e+00,-2.358466835331782252e-02
-1.000053035650681599e+00,-2.751703775715866329e-02
-1.000059198624045020e+00,-3.145030382257737317e-02
-1.000065020136762017e+00,-3.538457847749059554e-02
-1.000070609021127099e+00,-3.931998388633446001e-02
-1.000075953772185500e+00,-4.325663885799493208e-02
-1.000080922635640412e+00,-4.719465649703901561e-02
-1.000085620884714643e+00,-5.113416011768619901e-02
-1.000089914475005504e+00,-5.507526169427377771e-02
-1.000093906302542246e+00,-5.901808526586634074e-02
-1.000097460042740360e+00,-6.296274164388498962e-02
-1.000100557266462298e+00,-6.690934760119127134e-02
-1.000103178387035774e+00,-7.085801977667975649e-02
-1.000105421538279193e+00,-7.480888355920066457e-02
-1.000107027030802342e+00,-7.876203797787896532e-02
-1.000108090721790743e+00,-8.271760764540823929e-02
-1.000108588403358700e+00,-8.667570858276481272e-02
-1.000108375992057930e+00,-9.063644587652164297e-02
-1.000107427105038527e+00,-9.459993379025849469e-02
-1.000105832854377708e+00,-9.856629808940275961e-02
-1.000103445850993644e+00,-1.025356418889007415e-01
-1.000100236291380673e+00,-1.065080788566428599e-01
-1.000096173236152630e+00,-1.104837224459390282e-01
-1.000091106175282185e+00,-1.144626723321651995e-01
-1.000085120446133624e+00,-1.184450541399624801e-01
-1.000078063389462590e+00,-1.224309661454975606e-01
-1.000070017983269555e+00,-1.264205344196936143e-01
-1.000060711223905052e+00,-1.304138403932158519e-01
-1.000050223913263592e+00,-1.344110091572378041e-01
-1.000038517412765948e+00,-1.384121510479216777e-01
-1.000025433952450360e+00,-1.424173593166432883e-01
-1.000010932870537106e+00,-1.464267423461172168e-01
-9.999949724067699330e-01,-1.504404082274644339e-01
-9.999775097042200578e-01,-1.544584647523677134e-01
-9.999585008111412376e-01,-1.584810194052377885e-01
-9.999377830173565851e-01,-1.625081602325932351e-01
-9.999153104153891691e-01,-1.665399926942068842e-01
-9.998910360196884284e-01,-1.705766219209555734e-01
-9.998649117686642107e-01,-1.746181527071010708e-01
-9.998367711763432863e-01,-1.786646685327850093e-01
-9.998065642852649315e-01,-1.827162721130521916e-01
-9.997742400791790329e-01,-1.867730658052312032e-01
-9.997397464852572080e-01,-1.908351516013339633e-01
-9.997029133700049419e-01,-1.949026083088495065e-01
-9.996636868258744757e-01,-1.989755357876292763e-01
-1.000384051333610191e+00,-2.032088272011847441e-01
-1.000353265438803652e+00,-2.072988901562704545e-01
-1.000319883383899544e+00,-2.113948287190451358e-01
-1.000283613410622552e+00,-2.154966907659907338e-01
-1.000244396401099189e+00,-2.196045712200037359e-01
-1.000202172233490616e+00,-2.237185645822301061e-01
-1.000156996016149158e+00,-2.278387914027045769e-01
-1.000108573059083295e+00,-2.319652928180186147e-01
-1.000056840559143900e+00,-2.360981606509956754e-01
-1.000001850641991874e+00,-2.402375141224656341e-01
-9.999433066091004685e-01,-2.443833889145621829e-01
